"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"63" -10.5301813091195 -13.3788402051606 -10.6280933125842 -11.490446214648 -11.0763516424066 -18.003050573186 -17.1257450613431 -13.6043451670042 -8.85299025952393 -12.9087878977319 -11.4347421859462 -14.7736917203724 -14.0028257230475 -10.5246996153414 -12.2417013816741 -13.7394903609787 -15.6390392051571 -13.5125184081264 -12.1305246897149 -13.0261153627726 -18.4970200342148 -15.3466031345355 -10.7647133914794 -10.403907070998 -13.5462009421456 -8.25154009965074 -17.3224047995025 -10.8520103841542 -11.3139027503551 -12.4809286859294 -13.8784302204787 -15.7743912550866 -14.6847302892112 -16.7876004357219 -12.6643821270593 -11.2766467348915 -13.1545700530316 -12.221302269328 -16.8686971453563 -7.70852587202986 -10.0886448293902 -11.4248843366139 -14.8931980502879 -9.57784285116889 -14.6614585855908 -10.1619487072001 -12.1394687192174 -15.7946027823531 -13.264073416673 -12.2564156219619 -12.8864401837439 -16.2773212299902 -15.8767059878413 -14.4488674811017 -15.1948975795501 -17.5262333447126 -11.5480511925078 -6.1604522866729 -12.2781094222948 -10.6709775085456 -10.5635929188048 -11.0629216257403 -13.5824569831018 -7.88448702020885 -12.0929693568602 -12.6305330748551 -13.2993823389211 -10.5536473889287 -13.5809528492147 -11.6358616041565 -8.40599486293008 -11.5093096058315 -14.8172979064636 -12.2041108661098 -10.9598467430138 -13.0023868158601 -12.1618646700247 -16.1720660640037 -10.102264396572 -13.0605836136555 -10.2302110447599 -11.3562255719334 -12.934775520141 -9.10908558175196 -12.3348267170827 -14.7171283529231 -15.952412729869 -16.9842671834566 -10.836778468187 -11.7713792043822 -12.7496369131886 -13.248009777618 -14.0695544854675 -10.2889702167748 -12.2281254458029 -12.0457330768587 -11.6686150634336 -9.90991830442784 -8.5202979370699 -13.675079992778
"64" -11.9523827870291 -13.5965325282534 -11.0032050081233 -12.6888714547382 -12.0559458229129 -18.6092657716617 -17.1955896229838 -13.2839862379734 -8.8105837805565 -13.067549803436 -11.3152084626456 -15.3247149570958 -13.5390174859941 -11.6098270879555 -12.1627900993734 -14.8286801781698 -15.9528853291877 -12.9383689154255 -13.0371023077173 -14.0551345204668 -19.1235988815926 -15.2531035051534 -12.0958451501265 -11.1148665394075 -14.1530355385939 -9.07913968747114 -18.5387796092794 -11.1357699471764 -11.2947276354835 -13.2148447108154 -12.6955828095875 -14.2180552511813 -15.9589230910526 -17.6141566286375 -14.0719547180855 -11.5858876860987 -12.3887379360459 -13.8760396514316 -16.7622495940781 -8.17437105751766 -11.7477124894647 -12.0560832123821 -15.717355420504 -9.59674248621349 -15.6348722054234 -11.1132713763865 -11.980523201223 -16.1364813300292 -13.2501081636741 -12.8809269543726 -14.2231849221575 -16.0538627284948 -16.2973182334232 -15.1545157168263 -15.2426990661952 -18.114864273722 -12.9842490353353 -7.49555292324746 -13.1611599129199 -11.1952068285029 -12.4981402039211 -11.8144181451837 -12.5840423605141 -6.73057544478848 -11.8654934230673 -13.8868452933307 -13.6389289151627 -11.1835740299765 -14.0552225385614 -12.2680409307079 -9.8440507328549 -11.6352446904274 -16.2850068104922 -12.4622252290078 -11.9313249455673 -14.0883309803836 -12.6729415945594 -17.9035448349995 -11.1650399834858 -13.0534370907732 -10.9007869389312 -11.9597468963885 -13.4758091190776 -9.9810263824939 -11.808561884121 -15.9051154383857 -16.6727355787698 -17.7911923288631 -12.0476355283253 -12.9177308630524 -12.9416395972616 -13.9657638404383 -13.5136053571921 -8.78574073452398 -12.3581719077229 -12.9814908260627 -11.7807987609376 -10.3100359445469 -9.13859473406184 -13.675337778291
"65" -11.9387730888774 -13.2252361672252 -11.0868326648218 -12.428678666991 -11.8364897935795 -18.6245417554392 -17.2620705093816 -12.7437037305677 -8.63826431449031 -13.0807471864888 -11.351083141328 -14.2121235152568 -13.4177781200709 -11.4822975819576 -11.8282232455847 -14.1880880471603 -15.5833751151165 -12.8875541522831 -12.9659220439185 -13.8732949127166 -19.206782959388 -14.4617113530765 -12.0940987070921 -11.0184097317911 -14.1928730109854 -9.07287070427061 -18.4106611770901 -10.8652939360271 -10.7625674759043 -13.217335310042 -12.6380313195184 -14.2450992537932 -15.6429638925945 -17.5472639193063 -14.0168504857422 -11.3684334167566 -12.2286676088076 -13.6873822793246 -16.6901098826677 -8.24044895820992 -11.8314825325612 -12.0015325442391 -15.7304874115212 -9.22783848729849 -15.3736212946415 -10.7015074076575 -11.9297984476497 -16.1667967371746 -13.171272420804 -12.6425570115262 -14.3092463228034 -16.1229219911659 -15.8651360819593 -15.2418474208883 -15.2129504967317 -18.2007777957459 -12.6757719307627 -7.50108373772296 -13.0525206650524 -11.2787207121067 -12.4520528442473 -11.8466167709844 -12.6637599815544 -6.79620640712084 -11.9306319437882 -13.6684749050273 -13.6274121254985 -11.2494379705904 -13.703898345679 -12.0492430698606 -9.84212639787072 -11.5157176250756 -16.2562478427437 -11.765105887668 -12.0145094798802 -14.1646835886384 -12.7386187895376 -17.5487391683458 -11.0225207564695 -12.8801154914831 -10.9792596435499 -11.7193257911842 -13.1726029144559 -9.72738919207068 -11.8818788478236 -15.9403136635461 -16.7483274746989 -17.7600166589224 -12.1323456375504 -12.7114160094933 -12.8347944525917 -14.0420529509062 -13.502671723335 -8.80298887225095 -12.4080806646047 -12.7975241670785 -11.8401031800141 -10.1945930969312 -9.20592471332349 -13.7229325155532
"66" -11.9402188578132 -13.0194003085746 -11.3082448568584 -12.4919871866259 -12.0615040598724 -18.7718350312676 -17.2317476969516 -12.6083657107959 -8.17509811769583 -12.7425081329894 -11.3875882477429 -14.3019405634512 -13.3968014560516 -11.5760155931478 -11.6847804144943 -14.2636600359812 -15.7793321003514 -12.9133013851914 -13.0439096281443 -13.8219922762446 -18.1569938843791 -14.5986433160266 -12.2653833953128 -11.0229074155521 -13.7096109811494 -9.27943258223969 -18.4787897728107 -10.9538215701646 -10.7985980434569 -13.3187708716242 -12.4717971228747 -14.4608745736552 -14.7984732720247 -17.7610903100072 -14.2225198287824 -11.5665306612319 -12.1739980848528 -13.7648112449261 -16.3802627579388 -8.19873454029434 -11.6096780208434 -12.1732870651542 -15.8516206408649 -8.85243422187825 -15.1798096826334 -10.7622198588878 -12.1403284283645 -15.8180834337415 -13.3816087238986 -12.6948071296378 -14.3323379602858 -16.3209997773538 -15.6539067276248 -14.8158117940782 -15.0728335039639 -18.0058904072843 -12.7682357962939 -7.3137133018266 -12.9025518926436 -11.3244381958726 -12.5434650977032 -11.7526157041465 -12.8357623302457 -6.2852705665416 -11.4903371940382 -13.6680989200053 -13.5641035031212 -11.3632716420355 -13.867585050296 -11.327518965552 -9.22520101761775 -11.4047178348347 -16.0636964050914 -11.621941063293 -12.0152795667684 -14.1047003677217 -12.6978660839648 -17.5535231801718 -11.1791821322865 -12.897101412878 -10.6126806992983 -11.547491454876 -13.2676662168644 -9.77709480737645 -11.7959979553848 -16.1002811686829 -16.8623070805393 -17.5969806675866 -12.1505511955556 -12.6631587363665 -12.7365648253515 -14.0671610317697 -13.6551781398849 -8.16470961431608 -12.408232816028 -12.7883518153631 -12.0267150679148 -10.2324745160467 -9.10177694234589 -13.9402094540451
"67" -11.9238881206761 -13.0745629211329 -11.2802198124911 -12.5552304914677 -11.8614035165512 -18.8344859881415 -17.277707944534 -12.6636629159827 -7.84396648306478 -12.648961350164 -11.3610467615884 -14.2420813778139 -13.4249925996874 -11.5047516449079 -11.6296081518829 -14.2846167270262 -15.7406285623588 -12.9743849426419 -13.1043961999877 -13.7462835730545 -18.2171330418627 -14.6620757825644 -12.2423663250828 -11.0804568658345 -13.5364235337001 -9.02202678508661 -18.5439843439806 -11.0156142201112 -10.5781924417806 -13.1454702349303 -12.4104324620743 -14.3947822449342 -14.8620385028333 -17.7724805349801 -13.8798406454557 -11.4735264080851 -12.1980049395007 -13.7788926959925 -16.4181154788922 -8.18040738444532 -11.5078913949408 -12.2022483559948 -15.888672983111 -8.86999114576135 -15.2043679653077 -10.8086282632506 -12.1607505582668 -15.8362289815863 -13.4265200261089 -12.7549722811009 -14.3964800879862 -16.3398961120405 -15.6471488009068 -14.7399615355705 -14.6361962380021 -18.0133820406455 -12.8299087648642 -7.19572310860503 -12.9657881767846 -11.3212225749361 -12.0400510564211 -11.7379293730303 -12.2978256891713 -6.31702817314728 -11.4844385313412 -13.6705563642943 -13.60064878815 -11.4248152757869 -13.9287389659667 -11.2841094859866 -9.10401674732766 -11.457335432558 -15.8445551185349 -11.6848676457779 -12.0781515022682 -14.1032413303401 -12.3808992280826 -17.4851248651926 -11.2416452349234 -12.8047158785106 -10.6722160967058 -10.819070001455 -12.9214934614057 -9.61603593425502 -11.8516214614375 -15.7251650203268 -16.9034393539259 -17.661046611398 -11.9807526610231 -12.6482630197889 -12.794321793922 -14.0023908748923 -13.452708661386 -8.14162013191817 -12.3147340608557 -12.8308151020397 -12.0590176599111 -10.0375680260586 -9.06917059321166 -13.5335516228443
"68" -11.5942535204158 -13.066234513363 -11.4255734376008 -12.6228664077364 -11.8952457854711 -18.5833273932281 -17.6399284078326 -12.9036270408579 -7.88010045934289 -11.7339443120036 -10.8777787653098 -13.5963048649363 -13.319743618881 -11.3992921828756 -11.7839616458432 -14.3165471880724 -15.8159346426676 -13.2788665569758 -12.9518215795242 -13.9939882696817 -18.3393288867772 -15.0133486761058 -12.5103931191178 -11.2628837495302 -13.5655057558945 -8.45750299163803 -18.2233719488823 -10.8280946193188 -10.3216300112951 -12.8132970290869 -12.2136931462986 -14.3327617536727 -15.1683200533734 -17.3685017265267 -13.7099503967509 -11.2203343062349 -12.510066901531 -14.099781802966 -15.8349912020365 -8.37271479479622 -11.5613149042527 -12.578470903987 -16.13682510146 -8.77456991200381 -15.4539328796123 -10.8832749156191 -12.0275765816826 -16.2416666227594 -13.4136880870982 -13.0299111577536 -14.4672921688722 -16.6676117667586 -15.5917253035642 -14.6625824435471 -14.0984701834872 -17.8568327924643 -13.0027858570495 -7.00514203749105 -12.8557157018513 -11.4954566402793 -11.422161798029 -11.8390020754179 -12.2845236905907 -6.39765050205134 -11.7435407193827 -13.3862360627302 -13.7461038492019 -11.5537274192832 -13.6728945330104 -11.4819727166773 -9.40650158499547 -11.2711959881538 -15.4662914161106 -11.3808524791736 -11.6014533338541 -14.0069553059311 -12.5245954422954 -17.1239257337259 -10.9895975221765 -12.8611634203747 -11.0210223099076 -10.9762722171545 -12.4976630092177 -9.82290622233 -11.9706217178839 -15.5544096627372 -16.986954518 -17.3657235706829 -12.1030851464706 -12.9680665200357 -12.995640599595 -13.5991216987474 -13.1055750511337 -7.59644381173166 -12.6614243566656 -12.6990496899855 -12.350397983638 -10.1524642309052 -8.9778877344427 -13.8437554870929
"69" -11.451885426381 -13.0449947976174 -11.431711362795 -12.6187012505152 -11.9015468356303 -18.5931176307654 -17.2549232286749 -12.8691583827317 -7.83857973641757 -11.4906764201119 -10.7778692145629 -13.4169747249635 -13.3277336055375 -11.4083629371062 -11.7883727006592 -14.2938819557822 -15.7369869922945 -13.0832509211313 -12.9586215187481 -13.8662765978931 -18.3486476344995 -14.8619932898692 -12.4663334151366 -11.2422244812647 -13.5714546403027 -7.91972103122893 -18.2291895606681 -10.8339961630483 -10.3303444531983 -12.6164932764033 -12.1994135649597 -14.3405947376284 -15.1756986013203 -17.3747250129042 -13.6895646257909 -11.1292317881736 -12.516308312793 -14.1029472816667 -15.8335480273125 -8.35233360824108 -11.5702228259605 -12.5394657631761 -16.0965820303349 -8.65790274478151 -15.3225581139433 -10.8188177391602 -12.0043360074595 -16.250286589809 -13.4114157838084 -13.0282249233621 -14.4328051621561 -16.6764809302228 -15.5897600950406 -14.6716365104376 -13.976426945406 -17.8141739196001 -12.7559343381533 -6.80713184210275 -12.8315189110774 -11.3461939991587 -11.4205523689418 -11.7210774945566 -12.2895691887308 -6.34286667650423 -11.7225550364241 -13.3456836249034 -13.7388689345856 -11.4250430217879 -13.644399121819 -11.4801192596378 -9.37457994832522 -11.2634439371632 -15.472883878223 -11.366756184821 -11.5939379759069 -13.9042277856055 -12.4481098592164 -17.058806527499 -10.8059034064068 -12.8428322930515 -11.0301733165959 -10.9714727895194 -12.4355310198875 -9.83194082205547 -11.9148368075507 -15.5635513349776 -16.963782052195 -17.37502218286 -12.0507569841134 -12.96740957626 -12.9990894569852 -13.5653912528315 -12.9848347366031 -7.57803204451999 -12.6702575801573 -12.5486186067839 -12.3595387531726 -10.065888053727 -8.88898271651439 -13.8300728344518
"70" -11.4240239846192 -13.0604601838069 -11.3657319302269 -12.5667715448837 -11.9171246251346 -18.4878130343979 -17.2685421427737 -12.884673134376 -7.85381916537047 -11.3655602414356 -10.7935243764707 -13.4317571770681 -13.3430740781632 -11.4087395192736 -11.7621750482462 -14.2635742875711 -15.5172966688287 -12.937039107728 -12.9645344006913 -13.8769587546336 -18.3653566404591 -14.8568650093029 -12.4815966388476 -11.1816252326488 -13.575954066012 -7.93351138172678 -18.1818471326038 -10.8483979918455 -10.3102699146475 -12.5136137295463 -11.6727213562634 -14.3567665146083 -15.1321429367255 -17.3908156893323 -13.7022452696413 -11.1331162978022 -12.5070359021038 -14.1190867748412 -15.8202164999814 -8.34461246409965 -11.5288863164959 -12.5297997709639 -16.0550205483561 -8.62274818837969 -15.3184089669202 -10.8029881470605 -11.9845544197102 -16.2050839197468 -13.2867200466229 -12.9898453543995 -14.4012437289816 -16.5084409043133 -15.5317763466727 -14.4200656938507 -13.9892447124235 -17.7908983480169 -12.4859563582973 -6.75354357674203 -12.8335543854458 -11.1134743963796 -11.435923017601 -11.6343118959057 -12.2461373408908 -6.29391807478656 -11.4305516643502 -13.120487248076 -13.6844029893532 -11.4357160236013 -13.6267345113754 -11.4917148692623 -9.34155628674356 -11.2779391558805 -15.476676684688 -11.3285101544135 -11.5975767615667 -13.5722566385086 -12.2579459847898 -16.8257496523178 -10.7970529582423 -12.7682747524205 -10.851382008264 -10.9596402014302 -12.4327724772664 -9.84113742363866 -11.9304312698089 -15.5043369577916 -16.9622638683697 -17.0688299508491 -11.6377252750323 -12.9828244846646 -12.9241201952607 -13.5790237840918 -12.9930651222533 -7.41938163947402 -12.663453717063 -12.4470654868494 -12.3162908861798 -9.99135794211126 -8.81406347082969 -13.8190113329502
"71" -11.4203566962308 -13.0587017310928 -11.317600635628 -12.5481354990226 -11.8371767578231 -18.474080017225 -17.2523643811406 -12.8829568560219 -7.85424282507765 -11.3160285390528 -10.7873046311677 -13.2808651154364 -13.3418497199418 -11.3659298070003 -11.7578920442968 -14.1274709369408 -15.4720643970663 -12.9297643983282 -12.9483604809381 -13.8438612003872 -18.3107180106581 -14.8571223599929 -12.4291091999798 -11.180755260838 -13.4752585627568 -7.77009642458966 -18.1056090321707 -10.7264919276843 -10.1297702536381 -12.5126649502162 -11.6587508846242 -14.1636822251255 -15.0451396474766 -17.2444895551677 -13.677878031704 -11.1165891520473 -12.5005948631717 -14.0028038948847 -15.8064942767726 -8.29448242165734 -11.468026359191 -12.5004207225518 -15.2628169156423 -8.42012608711544 -15.2443874217053 -10.7473678590203 -11.8781617437784 -16.1407621914509 -13.216195692605 -12.7744747890391 -14.4007725398169 -16.4872664619058 -15.517835467597 -14.4124752035145 -13.9722664193852 -17.7880850456675 -12.3792297444552 -6.7386117580408 -12.7419753014502 -11.0927112694216 -11.4291031165957 -11.5307373049546 -12.2022324726935 -6.29343126962165 -11.4306255221514 -12.9505653186593 -13.635520588076 -11.3800683637257 -13.6051449529491 -11.4072622312984 -9.33060433849606 -11.2673910132824 -15.4344760686304 -11.2955543072189 -11.5308903556645 -13.5653334571479 -12.2554443023514 -16.6950328000533 -10.7969665520279 -12.7571513924383 -10.8291246911188 -10.8978576976735 -12.4189083692127 -9.45786038376195 -11.916973032211 -15.5021172663654 -16.9343969184882 -17.0305415802426 -11.6228967733571 -12.9468089040512 -12.9242774869441 -13.5568600208998 -12.9929724787943 -7.41842959625554 -12.6472939124852 -12.437432994441 -12.2142674695437 -9.74229513924616 -8.74972915545764 -13.7231642241774
"72" -11.1864164171647 -13.181737309003 -11.676887663504 -11.8023009217508 -11.4253135302905 -18.6949879980178 -17.8305802190861 -12.835253110581 -7.93432976192829 -11.2934718736076 -10.947116119572 -12.4618429088326 -13.1864903558498 -11.8703567068792 -12.2345885989603 -13.997656647396 -15.7082668786144 -12.4661425139982 -13.6099758966501 -14.3365775825931 -17.6313764542868 -15.3107510281323 -12.4548645577967 -11.2991145678369 -13.7803341865176 -7.84308267396598 -18.3865151229546 -11.0729207359663 -10.6822645324026 -12.7109402352442 -12.1153855150853 -13.809201050328 -14.1304987352319 -17.7340848428054 -13.5319077683811 -11.1775715255328 -12.3766736456039 -13.5078259914482 -15.4469828221176 -8.05599043119269 -11.2999972687105 -11.7736622072927 -15.5413241615262 -8.46785237714789 -15.5657325330592 -9.86196075787609 -12.2375010841005 -16.8916436345077 -13.7357000169626 -13.0030735101925 -14.2525161515862 -16.4470058427718 -15.5518210586358 -14.6052284142205 -13.6297762903758 -17.1309442862233 -12.3880404523922 -6.80379069299086 -12.5650600876862 -11.024932236525 -12.0497199307435 -11.1245905310674 -12.6712056049579 -5.93728211905924 -11.5682146804946 -12.7105139735727 -13.6386274069028 -11.6306537495828 -13.9321764232779 -10.7760104194587 -8.90233291103419 -11.538518868157 -15.4295703564933 -10.9378359029274 -11.7928333496571 -13.7399511630952 -12.6910732862714 -16.784434202402 -11.1619595289902 -12.2255757512332 -9.8969115659439 -10.8531908851798 -12.607160046671 -9.50930761699604 -10.7867103264823 -15.782189044216 -16.967604145428 -17.172712159033 -11.9812595301502 -12.7700424945655 -12.8984277768524 -13.5630782203815 -13.4046349210915 -6.98534115593497 -12.7291602805955 -12.6088231435232 -12.7192836752053 -9.86612457596823 -8.97561839716461 -14.1618647981357
"73" -11.5312058493008 -13.0909129420357 -11.6562177094046 -11.9416008453942 -11.8887249336588 -18.4193033132591 -17.5109488410369 -12.9656767198191 -8.33004341180825 -11.310976153456 -10.8765314694419 -12.8018379414956 -13.2791508613535 -11.3103560693217 -11.8552026115116 -13.4213393741578 -15.8684317636553 -12.7592137101739 -13.7421042263081 -13.7263937323055 -16.92870057366 -15.3742263921604 -12.7422361922558 -10.9918717653832 -12.6266923262684 -7.88600875623038 -18.7696220675201 -10.5801157008958 -10.4605887406658 -12.4601029965215 -12.0775413178202 -13.8458783481961 -13.94693207416 -17.5426218353584 -13.1265474109055 -11.5070186126323 -12.106971662843 -13.8605743317887 -15.1640916301864 -8.02799543134889 -11.5740209072045 -11.1356646335377 -15.7446798454336 -8.48109092162797 -16.0945573515545 -9.68740872702616 -11.9438011652337 -16.467242827303 -13.7514877360103 -13.3230689265882 -14.0206615302918 -15.9308732818952 -15.8881331852698 -14.5688467335984 -13.6737870783481 -17.2570833475089 -12.0655039043237 -6.85620787221188 -12.5318278302553 -11.2075756298574 -11.9691311425776 -11.1660934787974 -12.5463476801839 -6.09579617937521 -10.741455414345 -12.1826518018379 -13.8238946045987 -11.0133584731218 -13.9443473684347 -11.0477095966853 -8.76796523830952 -11.7916608612579 -14.7880079594722 -11.2668348105918 -12.0485386425103 -13.7962301184534 -12.4222042053173 -16.938911690817 -10.7628331849629 -12.4156456005929 -9.94993059492066 -9.43065848858762 -12.7932177321712 -9.91345746365375 -11.2565329398982 -15.028148521174 -15.8039622127775 -17.0775796637139 -11.7148009973137 -12.6468462340735 -13.1751118301219 -13.7709223599764 -13.0719264989523 -6.74316932564685 -13.2460915128545 -11.3504143363809 -12.1760488586075 -10.0280644624678 -9.2785394309113 -14.3574714227548
"74" -11.8268299299198 -13.4285169643405 -12.1250835956426 -12.0951441031667 -12.2813492199855 -18.3424372646797 -16.3837550985488 -13.1183981450457 -8.3490165748235 -10.8149340604522 -11.0831031977136 -12.9185619194595 -13.1951624439129 -10.4450688134716 -11.9015608542023 -13.6377838979412 -16.0264786380013 -13.1637406675276 -13.5295928784352 -13.3330284318129 -17.0240630254586 -14.6910454774099 -12.2962022676424 -11.2224945281089 -11.8767923759358 -7.86744288112504 -18.7610810001883 -10.6250433375376 -10.7630893162401 -12.8370584777911 -12.1751202907471 -14.0226525249587 -13.9715557609973 -17.8098476411382 -13.4994287345337 -11.5472195043488 -11.637704474162 -13.9379463586757 -15.4748960562406 -8.10105488285786 -11.8611954626004 -11.3619457872403 -15.8050215403216 -8.42735138944393 -16.045135272575 -9.74554806509151 -11.96931138639 -16.0049634317637 -13.9684319477269 -13.625403820292 -14.0605055975321 -15.9082257027725 -16.208343249844 -14.2668333969153 -14.1529432303957 -17.591865832924 -11.4252585802429 -6.97577007832932 -12.8870120097954 -10.3737107071851 -12.082733883853 -10.2546218464304 -12.7661558795263 -5.80554679171978 -10.8470974572122 -12.5354664319677 -13.2691390226917 -10.9982065670271 -14.0629948647709 -11.390842994223 -8.84323917480623 -11.7122414982012 -14.2406538801822 -11.5552570401745 -12.3319222357628 -14.0816042721855 -12.3157448685212 -17.2383879161462 -11.1404819792121 -12.2956766326707 -9.44266296106522 -9.17723663827454 -12.2365719859341 -9.54084803338424 -10.1277672782579 -14.1644035556809 -15.7920138391581 -16.8319417315124 -11.6634513595246 -12.6956474079819 -13.5681969628161 -13.8901716172135 -13.3324346809576 -6.90726626906151 -13.1620674492962 -11.4802918096961 -12.0257226878847 -10.2603956721103 -9.07291011203899 -14.7550118700005
"75" -11.8341337824572 -13.4137463349429 -12.0483584995746 -11.8955256706295 -12.2841506230388 -18.1943319170652 -16.3913388098186 -13.0603573407091 -8.22219485351858 -10.7539700388175 -11.0894552074777 -12.8474327126748 -13.1823214979291 -10.4503724149904 -11.8592813066233 -13.6296162853394 -16.0320062507669 -13.168287897596 -13.5370268046358 -13.3222358879262 -17.0303889021953 -14.6776821232482 -12.300844063356 -11.1848503614755 -11.8461661122076 -7.87471318503326 -18.5806239031339 -10.629462842473 -10.6539078379428 -12.6844127308026 -12.1826923419763 -14.0296105297516 -13.8909754137118 -17.8172401149593 -13.4740063307677 -11.4971894253547 -11.6224391224017 -13.8356508801277 -15.466212661508 -8.05751821065099 -11.7916812129897 -11.3606417631563 -15.7687595925572 -8.43337457464706 -16.0183031188107 -9.74219350192889 -11.9767077973371 -16.0124688933102 -13.8930977003478 -13.5857346291738 -14.0409963709654 -15.9136890895953 -16.2133941101741 -14.1647683047437 -14.1546428773834 -17.4708378546574 -11.4128928263217 -6.95344320967743 -12.8693624642369 -10.3810895841982 -11.9647851112571 -10.256188662569 -12.6664982456946 -5.5501296841753 -10.8480071730016 -12.3939775464406 -13.248210087642 -11.0037626408354 -13.6275959977159 -11.3981478370026 -8.41753622334835 -11.7143072969121 -14.1642834738986 -11.5160763660712 -12.3327467267046 -14.0890424943642 -12.2884643679936 -17.2448567655142 -11.1452086087445 -12.2903563770015 -9.4229793043036 -9.18451615191986 -12.1752758737052 -9.49374047082494 -10.1352291465407 -14.1716634199195 -15.6443157860778 -16.8295112417441 -11.3965478815397 -12.6102183239115 -13.4648749116251 -13.8429189452277 -13.3376788441367 -6.89592657846991 -13.1576203608987 -11.4464513525773 -12.0298694083584 -10.0070916298153 -9.07183833053444 -14.7596163527343
"76" -11.8509188108753 -13.4683490865807 -12.0471593433299 -11.9192412740185 -12.3050562642488 -18.2453599862086 -16.3983623103566 -13.0818354659209 -8.23709510559254 -10.7330548237798 -11.0331372035578 -12.8813481014558 -13.2357955026697 -10.495322349134 -11.9135085887166 -13.5436108363474 -16.0815069639436 -12.8721089211681 -13.5795729807097 -13.3688561957483 -17.0864657577535 -14.7213029508213 -12.2835669696058 -11.2140331086292 -11.7797621402135 -7.92154855388412 -18.5715024333162 -10.6415985287179 -10.5094171343963 -12.6390025053747 -12.1626496645145 -13.9690233471214 -13.9372965292717 -17.7699265925106 -13.4210325357557 -11.3126252852163 -11.4966700904559 -13.8899607117909 -15.3725546312313 -8.06431228914521 -11.6439511972238 -11.2958249138295 -15.8088086575662 -8.07954998830027 -15.8271909906808 -9.79424596493113 -12.0084238740876 -15.8160035790966 -13.7532277939227 -13.6343622735709 -14.0310153436999 -15.9046342843004 -16.1714273057714 -14.1457254500425 -13.8145980508141 -17.4426524882237 -11.4611652897181 -6.96105580902548 -12.8666582348892 -10.4345753372034 -12.0181869916226 -10.2661137927398 -12.7223727115291 -5.47251471896124 -10.9004411805053 -12.3097344868502 -13.2873451857046 -11.0220365363904 -13.356539664826 -11.4206001007348 -8.08745556072068 -11.7493026939077 -14.0415342830545 -11.1733855171914 -12.2353786932418 -14.1444517965699 -12.3367305685475 -17.2364136387128 -11.1455926327459 -12.1819298329065 -9.28601305509025 -9.17303741364792 -12.1791345458973 -9.54114867369549 -10.189791764207 -14.0226881040191 -15.6771322539129 -16.6498007300395 -11.4176391817578 -12.6414891089113 -13.3274830193574 -13.8993381240755 -13.3692833079149 -6.90217796054953 -13.2090948963335 -11.3904868752177 -11.8244578815107 -10.0150833682843 -9.07539337586596 -14.7769353186181
"77" -11.8554048033689 -13.4382051916949 -12.1859914976746 -11.97257149712 -12.3202395636906 -18.303300135823 -16.0670208315998 -13.0890678678884 -7.9937166130432 -10.8445769978938 -10.7027252780073 -12.826427231284 -13.1579281674266 -10.5208763063736 -12.044908255278 -13.4758449631671 -16.2348932854927 -12.87972757163 -13.3411373874963 -12.8387857516057 -17.2471847549818 -14.2542477726685 -12.3825683926438 -11.255399568 -11.8295524286619 -7.97518318706949 -18.7360682077539 -10.2084795297279 -10.5117528620133 -12.6416118390731 -11.8923560815252 -14.1242465348933 -14.0191995721379 -17.5630149394586 -13.5653000359529 -11.4663053767506 -11.6278119648337 -14.0510506355181 -15.4277225848878 -8.02537409391975 -11.8014954219691 -11.4528197596724 -15.746814144304 -7.97441006124915 -15.8908776966619 -9.85148949968995 -11.6293981690192 -15.3334776514966 -13.7373074942894 -13.7794349669389 -13.7704099464407 -15.6384713833761 -15.9948890671592 -14.3024988645146 -13.7822720530776 -16.6742678704749 -11.5698740536422 -7.09197064634755 -13.019007543203 -10.5593844932365 -12.1029161065132 -10.1874807429352 -12.8373271586627 -5.20770855535144 -10.9704269160315 -12.4278535427552 -13.4239143687529 -10.7952519397971 -13.2548893752681 -11.3570675788093 -8.03357732907151 -11.7858819955597 -13.843030570522 -11.0918115849866 -12.2524467706508 -13.764525534557 -12.0176576650117 -17.1991949181424 -11.2929165296144 -12.2999310575755 -9.16750650232159 -9.21547438389734 -11.9337610587329 -9.49433211503157 -10.296305582282 -13.8543532752075 -15.6038710668769 -16.4954963896092 -10.8195533506446 -12.5861838398355 -13.4219975698243 -13.9186620512511 -13.5116026517064 -6.73446402526574 -13.2384248978934 -11.5440382611244 -11.8646491368674 -10.1707404270821 -9.13897812028284 -14.7551047453625
